genero;pais;origen_capital;puesto;funcion;anios_empresa;sueldo_bruto;sueldo_dolar;satisfaccion;busqueda;anio
Femenino;Argentina;Nacional;Analista;Administración de personal;5;60000;715.222314936226;4;No,  pero escucho ofertas;2020
Femenino;Argentina;Nacional;Gerente;Generalista;15;225000;2682.0836810108476;3;No,  pero escucho ofertas;2020
Masculino;Argentina;Nacional;Responsable;Generalista;10;84000;1001.3112409107164;5;No,  pero escucho ofertas;2020
Masculino;Argentina;Nacional;Responsable;Generalista;12;38500;458.93431875074504;3;Sí, activamente;2020
Masculino;Argentina;Nacional;Jefe;People Analytics;6;92000;1096.6742162355465;4;No,  pero escucho ofertas;2020
Masculino;Argentina;Nacional;Administrativo;Administración de personal;2;43954.43;523.9531529383717;3;No,  pero escucho ofertas;2020
Femenino;Argentina;Nacional;Responsable;Reclutamiento y selección;9;103000;1227.798307307188;4;Sí, activamente;2020
Femenino;Argentina;Nacional;Administrativo;Administración de personal;1;30000;536.4167362021695;4;No,  pero escucho ofertas;2020
Femenino;Argentina;Nacional;Administrativo;Administración de personal;1;30000;536.4167362021695;4;No,  pero escucho ofertas;2020
Femenino;Argentina;Nacional;Administrativo;Generalista;4;44840;534.5094766956729;1;No,  pero escucho ofertas;2020
Masculino;Argentina;Multinacional;Analista;Administración de personal;10;35000;417.2130170461318;3;No,  pero escucho ofertas;2020
Femenino;Argentina;Multinacional;Analista;Reclutamiento y selección;4;30000;357.611157468113;2;Sí, activamente;2020
Femenino;Argentina;Nacional;Analista;Generalista;3;50282;599.3801406603886;4;No,  pero escucho ofertas;2020
Femenino;Argentina;Nacional;Responsable;Generalista;10;95000;1132.4353319823579;5;No estoy buscando cambiar;2020
Femenino;Argentina;Nacional;Analista;Administración de personal;5;60000;715.222314936226;3;No,  pero escucho ofertas;2020
Femenino;Argentina;Nacional;Responsable;Administración de personal;2;50000;596.0185957801883;3;Sí, activamente;2020
Femenino;Argentina;Nacional;Responsable;Payroll / Liquidación de sueldos;13;120000;1430.444629872452;4;Sí, activamente;2020
Masculino;Argentina;Nacional;Analista;Payroll / Liquidación de sueldos;5;55000;655.6204553582072;3;No,  pero escucho ofertas;2020
Masculino;Argentina;Nacional;Analista;Administración de personal;15;75000;894.0278936702825;4;No,  pero escucho ofertas;2020
Femenino;Argentina;Multinacional;Analista;Reclutamiento y selección;10;105000;1251.6390511383954;4;No,  pero escucho ofertas;2020
Femenino;Argentina;Nacional;Gerente;La mayoría de los nombrados con iguales condiciones de importancia y prioridad;12;140000;1668.8520681845273;5;No estoy buscando cambiar;2020
Masculino;Argentina;Nacional;Responsable;Administración de personal;10;116000;1382.763142210037;1;Sí, activamente;2020
Femenino;Argentina;Multinacional;Analista;Reclutamiento y selección;5;80000;953.6297532483013;4;No estoy buscando cambiar;2020
Femenino;Argentina;Multinacional;Analista;Capacitación y Desarrollo + Bienestar + RSE;8;67000;798.6649183454524;4;No estoy buscando cambiar;2020
Femenino;Argentina;Multinacional;Administrativo;Administración de personal;5;65000;774.8241745142449;3;Sí, activamente;2020
Masculino;Argentina;Nacional;Jefe;Generalista;15;89800;1070.4493980212183;3;Sí, activamente;2020
Femenino;Argentina;Nacional;Analista;Reclutamiento y selección;5;78000;929.7890094170938;4;No estoy buscando cambiar;2020
Masculino;Argentina;Nacional;Gerente;Generalista;15;250000;2980.0929789009415;NA;NA;2020
Femenino;Argentina;Nacional;Responsable;Generalista;17;32000;572.1778519489808;2;Sí, activamente;2020
Femenino;Argentina;Nacional;Analista;Administración de personal;11;35000;417.2130170461318;3;No,  pero escucho ofertas;2020
Masculino;Argentina;Multinacional;Gerente;Generalista;10;140000;1668.8520681845273;4;No,  pero escucho ofertas;2020
Femenino;Argentina;Multinacional;Responsable;Generalista;15;63000;750.9834306830373;NA;NA;2020
Femenino;Argentina;Multinacional;Analista;Generalista;5;650000;7748.241745142448;5;No,  pero escucho ofertas;2020
Femenino;Argentina;Multinacional;Responsable;Generalista;4;73000;870.187149839075;3;No,  pero escucho ofertas;2020
Femenino;Argentina;Nacional;Responsable;Reclutamiento y selección;1;34000;607.9389676957921;5;No,  pero escucho ofertas;2020
Femenino;Argentina;Multinacional;Analista;Administración de personal;9;59000;703.3019430206223;3;Sí, activamente;2020
Masculino;Argentina;Nacional;HRBP;Generalista;7;81000;965.5501251639051;3;No,  pero escucho ofertas;2020
Femenino;Argentina;Nacional;Analista;Administración de personal;2;38000;452.9741327929431;4;Sí, activamente;2020
Femenino;Argentina;Nacional;Administrativo;Administración de personal;4;62600;746.2152819167958;3;Sí, activamente;2020
Femenino;Argentina;Nacional;Jefe;Generalista;10;162000;1931.1002503278103;5;No estoy buscando cambiar;2020
Femenino;Argentina;Multinacional;Responsable;Generalista;11;81000;965.5501251639051;4;No,  pero escucho ofertas;2020
Femenino;Argentina;Nacional;Responsable;Generalista;4;51282;611.3005125759923;3;Sí, activamente;2020
Femenino;Argentina;Nacional;Analista;Generalista;9;90000;1072.833472404339;3;No,  pero escucho ofertas;2020
Femenino;Argentina;Nacional;Analista;Administración de personal;1;37000;441.05376087733936;3;Sí, activamente;2020
Femenino;Argentina;Multinacional;Jefe;Todo lo anterior;10;93000;1108.5945881511502;3;No,  pero escucho ofertas;2020
Masculino;Argentina;Nacional;Analista;Payroll / Liquidación de sueldos;8;70000;834.4260340922636;3;No estoy buscando cambiar;2020
Masculino;Argentina;Nacional;Responsable;Payroll / Liquidación de sueldos;2;66266;789.9153653593992;3;Sí, activamente;2020
Femenino;Argentina;Nacional;Analista;Generalista;3;54000;643.7000834426034;3;Sí, activamente;2020
Masculino;Argentina;Nacional;Administrativo;Administración de personal;18;65000;774.8241745142449;4;No estoy buscando cambiar;2020
Femenino;Argentina;Nacional;Gerente;Generalista;12;190000;2264.8706639647157;3;No,  pero escucho ofertas;2020
Femenino;Argentina;Nacional;Jefe;Administración de personal;1;36500;652.6403623793062;5;No,  pero escucho ofertas;2020
Femenino;Argentina;Nacional;Jefe;Administración de personal;3;45000;536.4167362021695;3;No,  pero escucho ofertas;2020
Femenino;Argentina;Nacional;Analista;Administración de personal;7;39000;464.8945047085469;1;Sí, activamente;2020
Femenino;Argentina;Nacional;Administrativo;Payroll / Liquidación de sueldos;3;40000;476.81487662415066;3;Sí, activamente;2020
Masculino;Argentina;Multinacional;Gerente;Generalista;14;140000;1668.8520681845273;NA;NA;2020
Femenino;Argentina;Nacional;Administrativo;Generalista;6;57000;679.4611991894147;3;Sí, activamente;2020
Femenino;Argentina;Nacional;Analista;Administración de personal;6;39600;472.04672785790916;1;Sí, activamente;2020
